name,distance,mass,radius
GJ 1148 c,36,0.21414 jupiters,2017
Kepler-1517 b,2835,0.216 jupiters,2016
Kepler-688 b,4068,0.216 jupiters,2016
Kepler-271 d,1364,0.219 earths,2016
CoRoT-8 b,1240,0.22 jupiters,2010
Kepler-34 b,4890,0.22 jupiters,2011
K2-308 b,,0.222 jupiters,2019
K2-261 b,700,0.223 jupiters,2018
KOI-1783.01,2896,0.22339 jupiters,2020
GJ 9066 c,15,0.22528 jupiters,2020
HD 46375 b,96,0.226 jupiters,2000
Kepler-25 d,799,0.226 jupiters,2014
HD 3651 b,36,0.228 jupiters,2003
HIP 67522 b,415,0.228 jupiters,2020
Kepler-431 c,1610,0.229 earths,2015
NGTS-5 b,1010,0.229 jupiters,2019
HD 204941 b,94,0.23 jupiters,2011
WASP-29 b,286,0.23 jupiters,2010
Kepler-167 e,1076,0.231 jupiters,2016
Kepler-693 b,3269,0.232 jupiters,2016
HIP 41378 f,348,0.233 jupiters,2016
Kepler-816 b,3454,0.234 jupiters,2016
V1298 Tauri b,354,0.236 jupiters,2019
HATS-5 b,838,0.237 jupiters,2014
HD 126525 b,123,0.237 jupiters,2018
Kepler-396 b,735,0.238 jupiters,2013
Kepler-807 b,4280,0.242 jupiters,2016
HATS-48 A b,866,0.243 jupiters,2020
Kepler-1558 b,1119,0.244 earths,2016
HD 332231 b,264,0.244 jupiters,2020
Kepler-272 b,2978,0.245 jupiters,2014
Kepler-685 b,3735,0.248 jupiters,2016
HD 101930 b,98,0.25 jupiters,2005
HD 63454 b,123,0.25 jupiters,2005
Kepler-145 c,1879,0.25 jupiters,2013
Kepler-425 b,2120,0.25 jupiters,2014
Kepler-725 b,2538,0.25 jupiters,2016
Kepler-323 c,1503,0.251 jupiters,2014
OGLE-2007-BLG-349L AB c,9003,0.25171 jupiters,2016
K2-116 b,161,0.257 earths,2017
Kepler-141 b,991,0.257 earths,2014
EPIC 201497682 b,831,0.26 earths,2019
HD 16141 b,123,0.26 jupiters,2000
Kepler-170 b,2462,0.26 jupiters,2014
XO-2 S b,496,0.26 jupiters,2014
HATS-43 b,1112,0.261 jupiters,2018
HD 108147 b,127,0.261 jupiters,2002
OGLE-2014-BLG-1722L c,20877,0.26335 jupiters,2018
Kepler-486 b,1396,0.265 jupiters,2016
HAT-P-38 b,812,0.267 jupiters,2012
CoRoT-25 b,3262,0.27 jupiters,2013
HD 109749 b,206,0.27 jupiters,2005
HD 168746 b,136,0.27 jupiters,2002
HD 7199 b,118,0.27 jupiters,2011
MOA-2010-BLG-353L b,20975,0.27 jupiters,2015
OGLE-2006-BLG-109L c,4926,0.27 jupiters,2008
WASP-131 b,816,0.27 jupiters,2016
Kepler-1349 b,848,0.271 earths,2016
Kepler-378 c,498,0.271 earths,2014
Kepler-277 b,3278,0.275 jupiters,2013
WASP-147 b,1390,0.275 jupiters,2018
WASP-160 B b,926,0.278 jupiters,2018
WASP-39 b,750,0.28 jupiters,2011
WASP-126 b,763,0.28411 jupiters,2016
Kepler-1339 b,871,0.285 earths,2016
Kepler-427 b,3588,0.29 jupiters,2014
OGLE-2013-BLG-0132L b,12722,0.29 jupiters,2017
WASP-69 b,163,0.29 jupiters,2014
K2-266 c,252,0.29013 earths,2018
WASP-148 b,809,0.291 jupiters,2020
HAT-P-19 b,701,0.292 jupiters,2010
Kepler-349 b,3153,0.297 jupiters,2014
Kepler-1559 b,1892,0.299 earths,2016
WASP-181 b,1445,0.299 jupiters,2019
WASP-117 b,518,0.3 jupiters,2014
WASP-21 b,849,0.3 jupiters,2010
WASP-83 b,979,0.3 jupiters,2015
GJ 1148 b,36,0.30425 jupiters,2010
Kepler-272 c,2978,0.308 jupiters,2014
HAT-P-51 b,1533,0.309 jupiters,2015
WASP-151 b,1497,0.31 jupiters,2017
WASP-20 b,685,0.311 jupiters,2015
Kepler-160 d,3141,0.31463 jupiters,2020
Kepler-124 b,1387,0.315 earths,2014
Kepler-1371 b,1468,0.315 earths,2016
Kepler-42 c,126,0.315 earths,2011
K2-287 b,519,0.315 jupiters,2018
HATS-6 b,484,0.319 jupiters,2015
NGC 2682 YBP 1194 b,2922,0.32 jupiters,2014
Kepler-240 c,2488,0.322 jupiters,2014
GJ 649 b,34,0.328 jupiters,2009
HD 33283 b,294,0.329 jupiters,2006
Kepler-125 c,601,0.33 earths,2014
BD-08 2823 c,135,0.33 jupiters,2009
HD 215497 c,132,0.33 jupiters,2009
HD 564 b,175,0.33 jupiters,2014
TRAPPIST-1 h,41,0.331 earths,2017
Kepler-444 f,119,0.332 earths,2015
Kepler-16 b,245,0.333 jupiters,2011
KOI-94 d,1578,0.334 jupiters,2013
K2-295 b,736,0.335 jupiters,2018
HAT-P-67 b,1044,0.34 jupiters,2017
HD 219134 h,21,0.34 jupiters,2015
